train_id,train_number,train_name,train_type
551,12181,"JBP-AII DAYO",SF
552,12182,"AII-JBP DAYO",SF
553,12183,"BPL-PBH SUF",SF
554,12184,"PBH-BPL SUF",SF
555,12185,"HBJ-REWA REW",SF
556,12186,"REWA-HBJ REW",SF
557,12187,"MUMBAI GARIB",GBR
558,12188,"JBP GARIB RA",GBR
559,12189,"JBP-NZM MAHA",SF
560,12190,"NZM-JBP MAHA",SF
561,12191,"SHRIDHAM SUP",SF
562,12192,"JBP-NDLS SUF",SF
563,12193,"YPR-JBP WEEK",SF
564,12194,"JBP-YPR WEEK",SF
565,12195,"AF-AII INTER",SF
566,12196,"AII-AF INTER",SF
567,12197,"BPL-GWL-INTE",SF
568,12198,"GWL-BPL-INTE",SF
569,12201,"KCVL GARIB R",GBR
570,12202,"LTT GARIB RA",GBR
571,12203,"GARIB RATH",GBR
572,12204,"GRIB RATH",SF
573,12205,"NANDA DEVI E",SF
574,12207,"KGM-JAT GARI",SF
575,12208,"JAT-KGM GARI",SF
576,12209,"CNB-KGM GARI",SF
577,12210,"KGM-CNB GARI",SF
578,12211,"MFP-ANVT GAR",SF
579,12212,"ANVT-MFP GAR",SF
580,12213,"DEE-YPR DURA",SF
581,12214,"DEE-YPR DURO",SF
582,12215,"DEE-BDTS GAR",SF
583,12216,"BDTS-DEE GAR",SF
584,12217,"KERALA S.KRA",SF
585,12219,"LTT-SC AC DU",SF
586,12220,"SC-LTT AC DU",SF
587,12221,"PA-HWH DURAN",SF
588,12222,"HWH-PUNE DUR",SF
589,12223,"LTT-ERS DURO",SF
590,12224,"ERS-LTT DURO",SF
591,12225,"KAIFIAT EXP",EXP
592,12227,"INDORE DURON",SF
593,12228,"MUMBAI DURON",SF
594,12229,"LUCKNOW MAIL",SF
595,12231,"LKO - CDG EX",SF
596,12232,"CDG - LKO EX",SF
597,12235,"GHY-NDLS RAJ",SF
598,12236,"NDLS-GHY RAJ",SF
599,12237,"BSB-JAT EXP.",EXP
600,12238,"JAT-BSB EXP.",EXP
601,12239,"JAIPUR DURON",SF
602,12240,"JP BCT DURON",SF
603,12241,"CDG-ASR SUPE",SF
604,12242,"ASR-CDG SUPE",SF
605,12243,"MAS-CBE SHAT",SF
606,12244,"CBE-MAS  SHA",SF
607,12245,"HWH - YPR WE",SF
608,12246,"YPR - HWH WE",SF
